Title,Publisher,Author,Year
"The Rise of the Social Sciences and the Formation of Modernity: Conceptual Change in Context, 1750–1850","<a href=""/s/?q=Springer+Science%2BBusiness+Media+Dordrecht"" title=""Publisher"">Springer Science+Business Media Dordrecht</a>","Johan Heilbron, Lars Magnusson, Björn Wittrock (eds.), Peter Hanns Reill, Randall Collins, Keith Tribe, Éric Brian, Michael Donnelly (auth.), ",1998
"How Algorithms Create and Prevent Fake News: Exploring the impacts of Social Media, Deepfakes, GPT-3, and More","<a href=""/s/?q=Apress"" title=""Publisher"">Apress</a>",Noah Giansiracusa,2021
The Social Media Reader,"<a href=""/s/?q=NYU+Press"" title=""Publisher"">NYU Press</a>",Michael Mandiberg,2012
Liberation Technology Social Media and the Struggle for Democracy,"<a href=""/s/?q=Johns+Hopkins+University+Press"" title=""Publisher"">Johns Hopkins University Press</a>","Marc F. Plattner, Larry Jay Diamond, ",2012
"Pain Generation: Social Media, Feminist Activism, and the Neoliberal Selfie","<a href=""/s/?q=New+York+University+Press"" title=""Publisher"">New York University Press</a>",L. Ayu Saraswati,2021
"How Algorithms Create and Prevent Fake News: Exploring the Impacts of Social Media, Deepfakes, GPT-3, and More","<a href=""/s/?q=Apress"" title=""Publisher"">Apress</a>",Noah Giansiracusa,2021
"Social BOOM!: How to Master Business Social Media to Brand Yourself, Sell Yourself, Sell Your Product, Dominate Your Industry Market, Save Your Butt, ... and Grind Your Competition into the Dirt","<a href=""/s/?q=FT+Press"" title=""Publisher"">FT Press</a>",Jeffrey Gitomer,2011
"Television in India: Satellites, Politics and Cultural Change (Media, Culture and Social Change in Asia Series)","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Nalin Mehta,2008
Beyond Slacktivism: Political Participation on Social Media,"<a href=""/s/?q=Springer+International+Publishing%2CPalgrave+Macmillan"" title=""Publisher"">Springer International Publishing,Palgrave Macmillan</a>",James Dennis,2019
Social Media 101: Tactics and Tips to Develop Your Business Online,nan,Chris Brogan,2010
"Erfolgreiches Social Media Marketing: Konzepte, Maßnahmen und Praxisbeispiele","<a href=""/s/?q=Gabler+Verlag"" title=""Publisher"">Gabler Verlag</a>","Michael Ceyp, Juhn-Petter Scupin (auth.)",2013
"Pioneers of Digital: Success Stories from Leaders in Advertising, Marketing, Search and Social Media","<a href=""/s/?q=Kogan+Page"" title=""Publisher"">Kogan Page</a>","Paul Springer, Mel Carson",2012
Médias et société - la perspective de la communication sociale,"<a href=""/s/?q=Presses+de+l%27Universit%C3%A9+du+Qu%C3%A9bec"" title=""Publisher"">Presses de l'Université du Québec</a>",Jason Luckerhoff,2016
"No B.S. Guide to Direct Response Social Media Marketing: The Ultimate No Holds Barred Guide to Producing Measurable, Monetizable Results with Social Media Marketing","<a href=""/s/?q=Entrepreneur+Press"" title=""Publisher"">Entrepreneur Press</a>","Dan S. Kennedy, Kim Walsh-Phillips",2015
Socialnomics: How Social Media Transforms the Way We Live and Do Business,"<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",Erik Qualman,2009
Interactive Multimedia Learning: Using Social Media for Peer Education in Single-Player Educational Games,"<a href=""/s/?q=Springer+International+Publishing"" title=""Publisher"">Springer International Publishing</a>",Johannes Konert (auth.),2015
Social Media: Usage and Impact,"<a href=""/s/?q=Lexington+Books"" title=""Publisher"">Lexington Books</a>","Hana S. Noor Al-Deen, John Allen Hendricks",2011
"Content Nation: Surviving and Thriving as Social Media Changes Our Work, Our Lives, and Our Future","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",John Blossom,2009
"Embracing Technology: Get Tech-Savvy by Learning About Your Computer, Smartphone, Internet, and Social Media Applications (English Edition)","<a href=""/s/?q=BPB+Publications"" title=""Publisher"">BPB Publications</a>","Grover, Maniik R",2021
The Dark Side of Social Media: A Consumer Psychology Perspective,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Angeline Close Scheinbaum (editor),2017
The Power of Real-Time Social Media Marketing: How to Attract and Retain Customers and Grow the Bottom Line in the Globally Connected World,"<a href=""/s/?q=McGraw-Hill"" title=""Publisher"">McGraw-Hill</a>","Beverly Macy, Teri Thompson",2010
"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",nan,Shekhar mishra,2018
New Korean Wave: Transnational Cultural Power in the Age of Social Media,"<a href=""/s/?q=University+of+Illinois+Press"" title=""Publisher"">University of Illinois Press</a>",Dal Yong Jin,2016
"Advanced Social Media Marketing: How to Lead, Launch, and Manage a Successful Social Media Program","<a href=""/s/?q=Apress"" title=""Publisher"">Apress</a>",Tom Funk (auth.),2013
"Social media hacking: Hack Facebook,what's app,instagram,twitter accounts",nan,Shekhar mishra,2018
A Therapist's Guide to Treating Eating Disorders in a Social Media Age,"<a href=""/s/?q=W.+W.+Norton+%26+Company"" title=""Publisher"">W. W. Norton &amp; Company</a>",Shauna Frisbie,2020
"I'm a Therapist, and My Patient is a Vegan Terrorist: 6 Deadly Social Media Influencers",nan,Dr. Harper,2020
Big Data Analytics in Cognitive Social Media and Literary Texts: Theory and Praxis,"<a href=""/s/?q=Springer"" title=""Publisher"">Springer</a>","Sanjiv Sharma, Valiur Rahaman, G.R. Sinha",2021
Social Media Generation in Urban China: A Study of Social Media Use and Addiction among Adolescents,"<a href=""/s/?q=Springer-Verlag+Berlin+Heidelberg"" title=""Publisher"">Springer-Verlag Berlin Heidelberg</a>",Hanyun Huang (auth.),2014
Breeding His Social Media Slut Daughter,"<a href=""/s/?q=I+Luv+SmutBux"" title=""Publisher"">I Luv SmutBux</a>",Zee DeeDee,english
Museum Communication and Social Media: The Connected Museum,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>","Kirsten Drotner, Kim Christian Schrøder",2013
"Modern Marketing Resh: Maximizing Your Modern Marketing Skills, Making More Money, SEO, Social Media, Internet Marketing","<a href=""/s/?q=FreniQ+Books"" title=""Publisher"">FreniQ Books</a>","Odame, Paul, Jubi, Gloria",2015
Analyzing Social Media Networks with NodeXL: Insights from a Connected World,"<a href=""/s/?q=Morgan+Kaufmann"" title=""Publisher"">Morgan Kaufmann</a>","Derek Hansen, Ben Shneiderman, Marc A. Smith",2010
Critical Theory and Social Media: Between Emancipation and Commodification,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Thomas  Allmer,2015
Ideology and the Image: Social Representation in the Cinema and Other Media,"<a href=""/s/?q=Indiana+University+Press"" title=""Publisher"">Indiana University Press</a>",Bill Nichols,1981
Algorithmic Desire: Toward a New Structuralist Theory of Social Media,"<a href=""/s/?q=Northwestern+University+Press"" title=""Publisher"">Northwestern University Press</a>",Matthew Flisfeder,2021
Social Media Marketing Workbook: How to Use Social Media for Business,"<a href=""/s/?q=CreateSpace+Independent+Publishing+Platform"" title=""Publisher"">CreateSpace Independent Publishing Platform</a>",Jason McDonald,2018
Automatic Detection of Irony: Opinion Mining in Microblogs and Social Media,"<a href=""/s/?q=Wiley-ISTE"" title=""Publisher"">Wiley-ISTE</a>","Jihen Karoui, Farah Benamara, Véronique Moriceau",2019
The Limitations of Social Media Feminism: No Space of Our Own,"<a href=""/s/?q=Palgrave+Macmillan"" title=""Publisher"">Palgrave Macmillan</a>",Jessica Megarry,2020
Influence: How Social Media Influencers Are Shaping Our Digital Future,"<a href=""/s/?q=Bloomsbury+Publishing"" title=""Publisher"">Bloomsbury Publishing</a>",Sara McCorquodale,2019
"i-Minds: How Cell Phones, Computers, Gaming, and Social Media are Changing our Brains, our Behavior, and the Evolution of our Species","<a href=""/s/?q=New+Society+Publishers"" title=""Publisher"">New Society Publishers</a>",Mari Swingle,2016
The Right People: The Social Establishment in America,"<a href=""/s/?q=Open+Road+Media"" title=""Publisher"">Open Road Media</a>","Birmingham, Stephen",2015
Social Media and Electronic Commerce Law,"<a href=""/s/?q=Cambridge+University+Press"" title=""Publisher"">Cambridge University Press</a>",Alan Davidson,2016
"The New Rules of Marketing & PR: How to Use Social Media, Online Video, Mobile Applications, Blogs, News Releases, and Viral Marketing to Reach Buyers Directly","<a href=""/s/?q=Wiley"" title=""Publisher"">Wiley</a>",David Meerman Scott,2013
"Media Effects and Beyond: Culture, Socialization and Lifestyles","<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Karl Erik Rosengren,1994
"The Everything Guide to Understanding Socialism: The political, social, and economic concepts behind this complex theory (Everything Series)","<a href=""/s/?q=Adams+Media"" title=""Publisher"">Adams Media</a>",Pamela Toler,2011
The PayPal Official Insider Guide to Selling with Social Media: Make money through viral marketing,"<a href=""/s/?q=Peachpit+Press"" title=""Publisher"">Peachpit Press</a>",Brian Proffitt,2011
An Introduction to Social Media Marketing,"<a href=""/s/?q=Routledge"" title=""Publisher"">Routledge</a>",Alan Charlesworth,2014
"Superconnected: The Internet, Digital Media, and Techno-Social Life",nan,Chayko Mary.,english
The Happiness Effect: How Social Media is Driving a Generation to Appear Perfect at Any Cost,"<a href=""/s/?q=Oxford+University+Press+Inc"" title=""Publisher"">Oxford University Press Inc</a>","Donna Freitas, Christian Smith",2017
Mining the Social Web,"<a href=""/s/?q=O%27Reilly+Media%2C+Inc"" title=""Publisher"">O'Reilly Media, Inc</a>","Klassen, Mikhail, Russell, Matthew A",2019
"Affect and Social Media: Emotion, Mediation, Anxiety and Contagion","<a href=""/s/?q=Rowman+%26+Littlefield"" title=""Publisher"">Rowman &amp; Littlefield</a>","Tony D. Sampson, Stephen Maddison, Darren Ellis",2018
"Social Media and Politics in Africa: Democracy, Censorship and Security","<a href=""/s/?q=Zed+Books"" title=""Publisher"">Zed Books</a>",Maggie Dwyer and Thomas Molony,2019
Public Relations and the Social Web: How to Use Social Media and Web 2.0 in Communications,"<a href=""/s/?q=Kogan+Page"" title=""Publisher"">Kogan Page</a>",Rob Brown,2009
